Codigo_Distrito;Poblacion
1;103563
1;104442  
1;103339
1;100.685  
1;100115  
2;264477  
2;265.828  
2;264780  
2;263565  
2;263558
3;182817  
3;184072  
3;182685  
3;180824  
3;180757  
4;82436  
4;82420  
4;81640  
4;81200  
4;81530  
5;144554  
5;145391  
5;145266  
5;145761  
5;146834  
6;121540  
6;121926  
6;120949
6;120273  
6;120401  
7;169896  
7;169107  
7;167743  
7;166950  
7;166559  
8;167637  
8;167419  
8;165748  
8;164516  
8;164648  
9;147370  
9;147453  
9;146846  
9;145983  
9;146494  
10;231158  
10;232885  
10;232826  
10;232629
10;233659
