Codigo_Distrito;year;Vehiculos_Generales;Motocicletas;Poblacion
1;2010;33005;17859;103563
1;2011;32129;18291;104442  
1;2012;31307;18464;103339
1;2013;27301;16956;100685  
1;2014;27182;15084;100115  
2;2010;118224;52679;264477  
2;2011;116698;52940;265828  
2;2012;115218;53071;264780  
2;2013;109916;47070;263565  
2;2014;110871;48010;263558
3;2010;77910;28352;182817  
3;2011;77315;28382;184072  
3;2012;75985;28464;182685  
3;2013;81108;25513;180824  
3;2014;79664;25773;180757  
4;2010;43067;19545;82436  
4;2011;42705;19549;82420  
4;2012;42308;19543;81640  
4;2013;44598;17487;81200  
4;2014;44675;17612;81530  
5;2010;79870;47520;144554  
5;2011;79417;47743;145391  
5;2012;78624;47866;145266  
5;2013;76486;42333;145761  
5;2014;77303;43058;146834  
6;2010;47726;25999;121540  
6;2011;47115;26128;121926  
6;2012;46373;26027;120949
6;2013;42066;23133;120273  
6;2014;42037;23222;120401  
7;2010;69924;31038;169896  
7;2011;68748;31153;169107  
7;2012;67770;31204;167743  
7;2013;62994;27828;166950  
7;2014;62784;28149;166559  
8;2010;64663;19796;167637  
8;2011;64055;19908;167419  
8;2012;62885;19982;165748  
8;2013;57652;17716;164516  
8;2014;57163;17813;164648  
9;2010;58633;19496;147370  
9;2011;68769;9053;147453  
9;2012;57728;19610;146846  
9;2013;55723;18103;145983  
9;2014;55649;18283;146494  
10;2010;93258;31573;231158  
10;2011;93043;31850;232885  
10;2012;92460;32115;232826  
10;2013;87783;29355;232629
10;2014;88274;29813;233659
